hydrogel_tau_s,final_leak_conductance_ratio,leak_reduction_pct,flow_retention_pct,isolation_time_s,expected_sensor_effect_sigma,passes_falsification_gate
190.0,0.08928571428571429,66.39715596235511,86.9256169845659,,175.8828018401268,False
190.0,0.10333333333333333,63.79450652509002,85.91296354488722,,175.8828018401268,False
190.0,0.11738095238095238,61.31458002737874,84.94805983480607,,175.8828018401268,False
190.0,0.13142857142857142,58.94889625625391,84.027606325501,,175.8828018401268,False
190.0,0.14547619047619048,56.68973872312748,83.1486006423151,,175.8828018401268,False
190.0,0.1595238095238095,54.530070581038196,82.30830484936754,,175.8828018401268,False
190.0,0.17357142857142857,52.46346141114493,81.50421696323141,,175.8828018401268,False
190.0,0.1876190476190476,50.48402327381194,80.73404607133143,,175.8828018401268,False
190.0,0.20166666666666666,48.58635468478233,79.99569053387941,,175.8828018401268,False
190.0,0.2157142857142857,46.76549139379308,79.28721883254167,,175.8828018401268,False
190.0,0.22976190476190475,45.01686302113054,78.60685269834681,,175.8828018401268,False
190.0,0.2438095238095238,43.33625475458527,77.95295220852215,,175.8828018401268,False
190.0,0.25785714285714284,41.7197734309929,77.32400258930937,,175.8828018401268,False
190.0,0.27190476190476187,40.163817427764755,76.71860250119252,,175.8828018401268,False
190.0,0.28595238095238096,38.66504987428711,76.13545361583861,,175.8828018401268,False
190.0,0.3,37.22037476382544,75.57335132158403,,175.8828018401268,False
210.71428571428572,0.005,81.04326866556814,92.62420865598808,585.8367919921875,175.8828018401268,True
210.71428571428572,0.019047619047619046,77.74985197333643,91.3427876186669,,175.8828018401268,False
210.71428571428572,0.033095238095238094,74.62897539261238,90.12849945560032,,175.8828018401268,False
210.71428571428572,0.04714285714285714,71.66742612042087,88.97620325530447,,175.8828018401268,False
210.71428571428572,0.061190476190476184,68.85330685690924,87.88126994962823,,175.8828018401268,False
210.71428571428572,0.07523809523809524,66.17587606255448,86.83952016013139,,175.8828018401268,False
210.71428571428572,0.08928571428571429,63.625410940721295,85.84717088656998,,175.8828018401268,False
210.71428571428572,0.10333333333333333,61.193089461146414,84.90078960393204,,175.8828018401268,False
210.71428571428572,0.11738095238095238,58.870888407157,83.9972545940773,,175.8828018401268,False
