time_s,Qin_m3_s,Qout_m3_s,Qleak_m3_s,P_damage_Pa,sensor_voltage_V,sensor_deltaP_Pa,leak_conductance_m3_Pa_s,hydrogel_swelling_fraction
53,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004770491018335308,224.35565240299206,0.0,0.0
54,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004744199201028886,224.35565240299206,0.0,0.0
55,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004810331142541122,224.35565240299206,0.0,0.0
56,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004768087163541378,224.35565240299206,0.0,0.0
57,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047646540549598697,224.35565240299206,0.0,0.0
58,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047938210362569547,224.35565240299206,0.0,0.0
59,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047586577847767903,224.35565240299206,0.0,0.0
60,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004778339677288419,224.35565240299206,0.0,0.0
61,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047480651611132363,224.35565240299206,0.0,0.0
62,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047678258987202376,224.35565240299206,0.0,0.0
63,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004751930992223762,224.35565240299206,0.0,0.0
64,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047409371849361267,224.35565240299206,0.0,0.0
65,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047576554653852815,224.35565240299206,0.0,0.0
66,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004782828479908008,224.35565240299206,0.0,0.0
67,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004795600429673644,224.35565240299206,0.0,0.0
68,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004730246374689224,224.35565240299206,0.0,0.0
69,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047675399009033015,224.35565240299206,0.0,0.0
70,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047790853559922375,224.35565240299206,0.0,0.0
71,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004762428915278335,224.35565240299206,0.0,0.0
72,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004769142283649204,224.35565240299206,0.0,0.0
73,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004748271211755297,224.35565240299206,0.0,0.0
74,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004764635493390809,224.35565240299206,0.0,0.0
75,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004765039065367183,224.35565240299206,0.0,0.0
76,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047796056514602106,224.35565240299206,0.0,0.0
77,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004755922695064601,224.35565240299206,0.0,0.0
78,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004785991391486651,224.35565240299206,0.0,0.0
79,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004751996268244272,224.35565240299206,0.0,0.0
80,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047348353067797484,224.35565240299206,0.0,0.0
81,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004795807777801534,224.35565240299206,0.0,0.0
82,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00048146386416665773,224.35565240299206,0.0,0.0
83,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047529764819364645,224.35565240299206,0.0,0.0
84,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047143561007298885,224.35565240299206,0.0,0.0
85,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004785332554016989,224.35565240299206,0.0,0.0
86,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047903279722155906,224.35565240299206,0.0,0.0
87,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047535346783639416,224.35565240299206,0.0,0.0
88,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047821284888407175,224.35565240299206,0.0,0.0
89,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004775434566718286,224.35565240299206,0.0,0.0
90,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004772276406373227,224.35565240299206,0.0,0.0
91,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004754674015313715,224.35565240299206,0.0,0.0
92,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047734201042674135,224.35565240299206,0.0,0.0
93,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047597564002379477,224.35565240299206,0.0,0.0
94,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047688447222174224,224.35565240299206,0.0,0.0
95,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047822074791125833,224.35565240299206,0.0,0.0
96,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047717105821944156,224.35565240299206,0.0,0.0
97,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047843220503429097,224.35565240299206,0.0,0.0
98,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004765183757322156,224.35565240299206,0.0,0.0
99,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047877913815908636,224.35565240299206,0.0,0.0
100,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004787171944425456,224.35565240299206,0.0,0.0
101,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004736174820733446,224.35565240299206,0.0,0.0
102,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004766377741445658,224.35565240299206,0.0,0.0
103,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004766392097548992,224.35565240299206,0.0,0.0
104,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047550833286411987,224.35565240299206,0.0,0.0
105,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047737311970905285,224.35565240299206,0.0,0.0
106,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004769884764389114,224.35565240299206,0.0,0.0
107,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004756811082332913,224.35565240299206,0.0,0.0
108,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004759665740194663,224.35565240299206,0.0,0.0
109,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047884999915781995,224.35565240299206,0.0,0.0
110,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047486472051061577,224.35565240299206,0.0,0.0
111,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004777122755905332,224.35565240299206,0.0,0.0
112,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047864356360458347,224.35565240299206,0.0,0.0
113,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004783323558439532,224.35565240299206,0.0,0.0
114,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047731249639266577,224.35565240299206,0.0,0.0
115,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000473276805194709,224.35565240299206,0.0,0.0
116,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047888247751379665,224.35565240299206,0.0,0.0
117,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047621125391888644,224.35565240299206,0.0,0.0
118,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004808070544201363,224.35565240299206,0.0,0.0
119,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004765345395702455,224.35565240299206,0.0,0.0
120,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004747322728690031,224.35565240299206,0.0,0.0
121,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000477004732348078,224.35565240299206,0.0,0.0
122,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004777901155517218,224.35565240299206,0.0,0.0
123,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047606838357583804,224.35565240299206,0.0,0.0
124,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004751311022016538,224.35565240299206,0.0,0.0
125,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004752040905619203,224.35565240299206,0.0,0.0
126,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004725864579960955,224.35565240299206,0.0,0.0
127,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047611307075928256,224.35565240299206,0.0,0.0
128,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047771622590346097,224.35565240299206,0.0,0.0
129,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004767833640839284,224.35565240299206,0.0,0.0
130,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047667640279519476,224.35565240299206,0.0,0.0
131,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004763139309369989,224.35565240299206,0.0,0.0
132,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000476591461330414,224.35565240299206,0.0,0.0
133,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004761834738261627,224.35565240299206,0.0,0.0
134,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047987310582518533,224.35565240299206,0.0,0.0
135,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047487214779187503,224.35565240299206,0.0,0.0
136,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047768088424179715,224.35565240299206,0.0,0.0
137,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047887772309684916,224.35565240299206,0.0,0.0
138,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047525590338467225,224.35565240299206,0.0,0.0
139,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047389675368918297,224.35565240299206,0.0,0.0
140,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004755453494049562,224.35565240299206,0.0,0.0
141,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047620908707626407,224.35565240299206,0.0,0.0
142,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047839584631469904,224.35565240299206,0.0,0.0
143,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004707882710283281,224.35565240299206,0.0,0.0
144,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004747708884626321,224.35565240299206,0.0,0.0
145,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047880999504464105,224.35565240299206,0.0,0.0
146,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004780906815364346,224.35565240299206,0.0,0.0
147,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004763574472068113,224.35565240299206,0.0,0.0
148,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047964086796794706,224.35565240299206,0.0,0.0
149,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004761941448899341,224.35565240299206,0.0,0.0
150,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047744954881538064,224.35565240299206,0.0,0.0
151,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047407886450332267,224.35565240299206,0.0,0.0
152,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004746070963766986,224.35565240299206,0.0,0.0
153,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00048195397657882467,224.35565240299206,0.0,0.0
154,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004764480005319005,224.35565240299206,0.0,0.0
